psi_g_formula_version,ansatz,group,regime,n,L,T,n_params,H_G,D_G,D_inter,D_mult,M_G,S_G,defect,Psi_raw,Psi_G,seed
v12_gated,HEA,U(1),A_confined,6,2,40,36,0.8391301545519685,0.6088124094170388,0.21762481883407778,1.0,0.030505736804233217,0.9098358155223052,0.03149703941743346,0.7521193728449287,0.6843051429624905,0
v12_gated,HEA,SU(2),A_confined,6,2,40,36,0.8627778188890051,0.7121596718758612,0.4243193437517222,1.0,0.032923659713625486,0.7788007830714304,0.08333333333332238,0.8029600166050133,0.6253458897070331,0
v12_gated,HEA,S_n,A_confined,6,2,40,36,0.8391301545519685,0.6088124094170388,0.21762481883407778,1.0,0.030505736804233217,1.0,0.0,0.7521193728449287,0.7521193728449287,0
v12_gated,U1_equiv,U(1),A_confined,6,2,40,36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
v12_gated,U1_equiv,SU(2),A_confined,6,2,40,36,0.0,0.0,0.0,0.0,0.0,0.8537525485233151,0.05270462766946591,0.0,0.0,0
v12_gated,U1_equiv,S_n,A_confined,6,2,40,36,0.0,0.0,0.0,0.0,0.0,0.7888565204765229,0.07905694150419705,0.0,0.0,0
v12_gated,SU2_equiv,U(1),A_confined,6,2,40,12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
v12_gated,SU2_equiv,SU(2),A_confined,6,2,40,12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
v12_gated,SU2_equiv,S_n,A_confined,6,2,40,12,0.0,0.0,0.0,0.0,0.0,0.7362495038917184,0.10206207261594999,0.0,0.0,0
v12_gated,Sn_equiv,U(1),A_confined,6,2,40,4,0.7869887910226278,0.5770938412069434,0.15418768241388675,1.0,0.32775886526804,0.9400154596537491,0.020619652471056703,0.6490399203060775,0.6101075590201501,0
v12_gated,Sn_equiv,SU(2),A_confined,6,2,40,4,0.0,0.5000000000000001,3.1857041487565293e-16,1.0,0.0,0.7333203722726147,0.10339086754457893,0.17500000000000002,0.1283310651477076,0
v12_gated,Sn_equiv,S_n,A_confined,6,2,40,4,0.7869887910226278,0.5770938412069434,0.15418768241388675,1.0,0.32775886526804,1.0,0.0,0.6490399203060775,0.6490399203060775,0
v12_gated,U1_broken,U(1),A_confined,6,2,40,36,0.4385218782051721,0.5424231062145262,0.08484621242905233,1.0,0.18643033436189932,0.9720161725610506,0.009460945407606792,0.4544488629137464,0.44173164435414136,0
v12_gated,U1_broken,SU(2),A_confined,6,2,40,36,0.32675892860625033,0.5795958448985097,0.15919168979701945,1.0,0.17124887616107914,0.8333511397343775,0.0607667297803291,0.4012625744836864,0.3343926237787306,0
v12_gated,U1_broken,S_n,A_confined,6,2,40,36,0.4385218782051721,0.5424231062145262,0.08484621242905233,1.0,0.18643033436189932,0.7945914050925423,0.07664241743560868,0.4544488629137464,0.3611011605253419,0
v12_gated,HEA,U(1),B_multi,6,2,40,36,0.8547373319103244,0.6069866524012398,0.21397330480247972,1.0,0.04048441445514841,0.9098358155223052,0.03149703941743346,0.7593737089833085,0.6909053977990262,0
v12_gated,HEA,SU(2),B_multi,6,2,40,36,0.8636207762458769,0.7139077434767162,0.42781548695343224,1.0,0.0346404744679234,0.7788007830714304,0.08333333333332238,0.8037421564142923,0.6259550208029709,0
v12_gated,HEA,S_n,B_multi,6,2,40,36,0.8547373319103244,0.6069866524012398,0.21397330480247972,1.0,0.04048441445514841,1.0,0.0,0.7593737089833085,0.7593737089833085,0
v12_gated,U1_equiv,U(1),B_multi,6,2,40,36,0.6348819291190607,0.5687897653277065,0.13757953065541306,1.0,2.974087322888419e-05,1.0,0.0,0.6117449513063444,0.6117449513063444,0
v12_gated,U1_equiv,SU(2),B_multi,6,2,40,36,0.7589974629509042,0.680592709039025,0.3611854180780501,1.0,0.03265773317192243,0.8537525485233151,0.05270462766946591,0.7253590149259423,0.6192771075873846,0
v12_gated,U1_equiv,S_n,B_multi,6,2,40,36,0.6348819291190607,0.5687897653277065,0.13757953065541306,1.0,2.974087322888419e-05,0.7888565204765229,0.07905694150419705,0.6117449513063444,0.4825789937066028,0
v12_gated,SU2_equiv,U(1),B_multi,6,2,40,12,0.6348819291190607,0.5687897653277065,0.13757953065541306,1.0,2.97408732289491e-05,1.0,0.0,0.6117449513063444,0.6117449513063444,0
v12_gated,SU2_equiv,SU(2),B_multi,6,2,40,12,0.47375634419644186,0.6109362638326526,0.22187252766530524,1.0,4.562589194340155e-05,1.0,0.0,0.5217639121801737,0.5217639121801737,0
v12_gated,SU2_equiv,S_n,B_multi,6,2,40,12,0.6348819291190607,0.5687897653277065,0.13757953065541306,1.0,2.97408732289491e-05,0.7362495038917184,0.10206207261594999,0.6117449513063444,0.4503969169075595,0
v12_gated,Sn_equiv,U(1),B_multi,6,2,40,4,0.970771859939987,0.5949527291916633,0.18990545838332668,1.0,0.16016124195434703,0.9400154596537491,0.020619652471056703,0.8003651574924939,0.752355621411152,0
v12_gated,Sn_equiv,SU(2),B_multi,6,2,40,4,0.4737563441964418,0.6109362638326525,0.22187252766530516,1.0,4.5625891943297905e-05,0.7333203722726147,0.10339086754457893,0.5217639121801736,0.3826201063183807,0
v12_gated,Sn_equiv,S_n,B_multi,6,2,40,4,0.970771859939987,0.5949527291916633,0.18990545838332668,1.0,0.16016124195434703,1.0,0.0,0.8003651574924939,0.8003651574924939,0
v12_gated,U1_broken,U(1),B_multi,6,2,40,36,0.7048722312729288,0.5810776457960524,0.1621552915921047,1.0,0.05382116854420716,0.9720161725610506,0.009460945407606792,0.6520598645656541,0.6338127338357841,0
v12_gated,U1_broken,SU(2),B_multi,6,2,40,36,0.7929607011286802,0.689265455692895,0.3785309113857901,1.0,0.06225178841596431,0.8333511397343775,0.0607667297803291,0.744326559778946,0.6202853869263529,0
v12_gated,U1_broken,S_n,B_multi,6,2,40,36,0.7048722312729288,0.5810776457960524,0.1621552915921047,1.0,0.05382116854420716,0.7945914050925423,0.07664241743560868,0.6520598645656541,0.518121163989676,0
v12_gated,HEA,U(1),A_confined,6,2,40,36,0.8219705014420824,0.6063342843790451,0.21266856875809026,1.0,0.038004533388802275,0.9098358155223052,0.03149703941743346,0.7386881741283529,0.6720849573247525,1
v12_gated,HEA,SU(2),A_confined,6,2,40,36,0.8913107439463384,0.7185263785795025,0.437052757159005,1.0,0.031084907223142503,0.7788007830714304,0.08333333333332238,0.8239096381223053,0.6416614713497503,1
v12_gated,HEA,S_n,A_confined,6,2,40,36,0.8219705014420824,0.6063342843790451,0.21266856875809026,1.0,0.038004533388802275,1.0,0.0,0.7386881741283529,0.7386881741283529,1
