psi_g_formula_version,ansatz,group,seed,Delta_U,S_U
v12_gated,HEA,U(1),0,0.0669679293752575,0.8179911282275697
v12_gated,U1_equiv,U(1),0,0.0,1.0
v12_gated,SU2_equiv,SU(2),0,6.688789265791899e-17,0.9999999999999998
v12_gated,Sn_equiv,S_n,0,4.0005742856439064e-17,0.9999999999999999
v12_gated,U1_broken,U(1),0,0.026931242868650083,0.9223839332429722
v12_gated,HEA,U(1),1,0.0669679293752575,0.8179911282275697
v12_gated,U1_equiv,U(1),1,0.0,1.0
v12_gated,SU2_equiv,SU(2),1,6.688789265791899e-17,0.9999999999999998
v12_gated,Sn_equiv,S_n,1,4.0005742856439064e-17,0.9999999999999999
v12_gated,U1_broken,U(1),1,0.026931242868650083,0.9223839332429722
v12_gated,HEA,U(1),2,0.0669679293752575,0.8179911282275697
v12_gated,U1_equiv,U(1),2,0.0,1.0
v12_gated,SU2_equiv,SU(2),2,6.688789265791899e-17,0.9999999999999998
v12_gated,Sn_equiv,S_n,2,4.0005742856439064e-17,0.9999999999999999
v12_gated,U1_broken,U(1),2,0.026931242868650083,0.9223839332429722
v12_gated,HEA,U(1),3,0.0669679293752575,0.8179911282275697
v12_gated,U1_equiv,U(1),3,0.0,1.0
v12_gated,SU2_equiv,SU(2),3,6.688789265791899e-17,0.9999999999999998
v12_gated,Sn_equiv,S_n,3,4.0005742856439064e-17,0.9999999999999999
v12_gated,U1_broken,U(1),3,0.026931242868650083,0.9223839332429722
v12_gated,HEA,U(1),4,0.0669679293752575,0.8179911282275697
v12_gated,U1_equiv,U(1),4,0.0,1.0
v12_gated,SU2_equiv,SU(2),4,6.688789265791899e-17,0.9999999999999998
v12_gated,Sn_equiv,S_n,4,4.0005742856439064e-17,0.9999999999999999
v12_gated,U1_broken,U(1),4,0.026931242868650083,0.9223839332429722
v12_gated,HEA,U(1),5,0.0669679293752575,0.8179911282275697
v12_gated,U1_equiv,U(1),5,0.0,1.0
v12_gated,SU2_equiv,SU(2),5,6.688789265791899e-17,0.9999999999999998
v12_gated,Sn_equiv,S_n,5,4.0005742856439064e-17,0.9999999999999999
v12_gated,U1_broken,U(1),5,0.026931242868650083,0.9223839332429722
v12_gated,HEA,U(1),6,0.0669679293752575,0.8179911282275697
v12_gated,U1_equiv,U(1),6,0.0,1.0
v12_gated,SU2_equiv,SU(2),6,6.688789265791899e-17,0.9999999999999998
v12_gated,Sn_equiv,S_n,6,4.0005742856439064e-17,0.9999999999999999
v12_gated,U1_broken,U(1),6,0.026931242868650083,0.9223839332429722
v12_gated,HEA,U(1),7,0.0669679293752575,0.8179911282275697
v12_gated,U1_equiv,U(1),7,0.0,1.0
v12_gated,SU2_equiv,SU(2),7,6.688789265791899e-17,0.9999999999999998
v12_gated,Sn_equiv,S_n,7,4.0005742856439064e-17,0.9999999999999999
v12_gated,U1_broken,U(1),7,0.026931242868650083,0.9223839332429722
v12_gated,HEA,U(1),8,0.0669679293752575,0.8179911282275697
v12_gated,U1_equiv,U(1),8,0.0,1.0
v12_gated,SU2_equiv,SU(2),8,6.688789265791899e-17,0.9999999999999998
v12_gated,Sn_equiv,S_n,8,4.0005742856439064e-17,0.9999999999999999
v12_gated,U1_broken,U(1),8,0.026931242868650083,0.9223839332429722
v12_gated,HEA,U(1),9,0.0669679293752575,0.8179911282275697
v12_gated,U1_equiv,U(1),9,0.0,1.0
v12_gated,SU2_equiv,SU(2),9,6.688789265791899e-17,0.9999999999999998
v12_gated,Sn_equiv,S_n,9,4.0005742856439064e-17,0.9999999999999999
v12_gated,U1_broken,U(1),9,0.026931242868650083,0.9223839332429722
v12_gated,HEA,U(1),10,0.0669679293752575,0.8179911282275697
v12_gated,U1_equiv,U(1),10,0.0,1.0
v12_gated,SU2_equiv,SU(2),10,6.688789265791899e-17,0.9999999999999998
v12_gated,Sn_equiv,S_n,10,4.0005742856439064e-17,0.9999999999999999
v12_gated,U1_broken,U(1),10,0.026931242868650083,0.9223839332429722
v12_gated,HEA,U(1),11,0.0669679293752575,0.8179911282275697
v12_gated,U1_equiv,U(1),11,0.0,1.0
v12_gated,SU2_equiv,SU(2),11,6.688789265791899e-17,0.9999999999999998
v12_gated,Sn_equiv,S_n,11,4.0005742856439064e-17,0.9999999999999999
v12_gated,U1_broken,U(1),11,0.026931242868650083,0.9223839332429722
v12_gated,HEA,U(1),12,0.0669679293752575,0.8179911282275697
