psi_g_formula_version,ansatz,group,regime,n,L,T,n_params,H_G,D_G,D_inter,D_mult,M_G,S_G,defect,Psi_raw,Psi_G
v12_gated,HEA,U(1),B_multi,4,2,40,24,0.9456241046006028,0.649280264758535,0.3517386344135931,0.9468218951034769,0.0704113183190803,0.7604375567909473,0.0912870929175109,0.825258100696072,0.6275572538152585
v12_gated,U1_equiv,U(1),B_multi,4,2,40,24,0.6361029135744236,0.5834666801405948,0.21274380150677982,0.9541895587744097,0.0025947624875046382,1.0,0.0,0.6172675978779997,0.6172675978779997
v12_gated,SU2_equiv,SU(2),B_multi,4,2,40,8,0.4559117894238971,0.661623238260533,0.32324647652106614,1.0,0.0007765624231633459,1.0,0.0,0.5278222855257337,0.5278222855257337
v12_gated,Sn_equiv,S_n,B_multi,4,2,40,4,0.977104195753783,0.6567715271172492,0.33737806666836007,0.9761649875661383,0.10330802462520088,1.0,0.0,0.8397520856519165,0.8397520856519165
v12_gated,U1_broken,U(1),B_multi,4,2,40,24,0.7078572474095651,0.5878177476425074,0.2370519876998825,0.9385835075851322,0.08170602745893432,0.9210312852074289,0.02742042485534894,0.651384371567632,0.5999453849089695
v12_gated,HEA,U(1),B_multi,6,2,40,36,0.8297160458670021,0.6056258805254888,0.21125176105097757,1.0,0.02032015942761242,0.9098358155223052,0.03149703941743346,0.7470694974145561,0.6797105854320113
v12_gated,U1_equiv,U(1),B_multi,6,2,40,36,0.6348819291190607,0.5687897653277065,0.13757953065541303,1.0,2.9740873228959783e-05,1.0,0.0,0.6117449513063444,0.6117449513063444
v12_gated,SU2_equiv,SU(2),B_multi,6,2,40,12,0.47375634419644186,0.6109362638326526,0.2218725276653053,1.0,4.5625891943411834e-05,1.0,0.0,0.5217639121801737,0.5217639121801737
v12_gated,Sn_equiv,S_n,B_multi,6,2,40,4,0.9893687534187745,0.6276563861498019,0.2553127722996038,1.0,0.054520230797824185,1.0,0.0,0.8492842716794973,0.8492842716794973
v12_gated,U1_broken,U(1),B_multi,6,2,40,36,0.677892189844326,0.576101571130787,0.15220314226157397,1.0,0.13505746538279467,0.9720161725610506,0.009460945407606792,0.6193768730537956,0.6020443375185821
v12_gated,HEA,U(1),B_multi,8,2,40,48,0.8258433883172078,0.5808399595814312,0.1616799191628623,1.0,0.0512473934389806,0.9645588891638917,0.012028130608116876,0.7295116079996677,0.7036569062443239
v12_gated,U1_equiv,U(1),B_multi,8,2,40,48,0.6320197537821397,0.5494925095901887,0.09898501918037747,1.0,1.0884506277724282e-06,1.0,0.0,0.6031350463343823,0.6031350463343823
v12_gated,SU2_equiv,SU(2),B_multi,8,2,40,16,0.48673634807230926,0.5824385619056818,0.1648771238113635,1.0,3.74111692744134e-07,1.0,0.0,0.5202320773905499,0.5202320773905499
v12_gated,Sn_equiv,S_n,B_multi,8,2,40,4,0.9921273539222082,0.601753776494687,0.20350755298937387,1.0,0.03995682301436977,1.0,0.0,0.8455860375504796,0.8455860375504796
v12_gated,U1_broken,U(1),B_multi,8,2,40,48,0.6950369008807427,0.5578894919933872,0.11577898398677448,1.0,0.048722191762217794,0.9892196543289463,0.003612958206350399,0.6385693774785359,0.6316853788543677
